Title: A Uniformly Selected Sample of Low-mass Black Holes in Seyfert 1 Galaxies
Authors: Dong X.-B., Ho L.C., Yuan W., Wang T.-G., Fan X., Zhou H., Jiang N. 
Table: The SDSS Sample
================================================================================
Byte-by-byte Description of file: apj436496t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  3 I3     ---   ID     Identifier from this paper
   5- 25 A21    ---   SDSS   Official SDSS name in J2000.0
  27- 32 F6.4   ---   z      SDSS pipeline redshift
  34- 38 F5.2   mag   gmag   Petrosian SDSS g band magnitude (1)
  40- 43 F4.2   mag   g-r    Petrosian SDSS (g-r) color
  45- 49 F5.3   mag   Ag     Galactic extinction in the g band
--------------------------------------------------------------------------------
Note (1): Uncorrected for Galactic extinction.
--------------------------------------------------------------------------------
  1 J000111.15$-$100155.7 0.0489 18.65 0.78 0.15  
  2 J000308.48$+$154842.2 0.1175 18.31 0.55 0.14  
  3 J001728.84$-$001826.8 0.1118 17.85 0.74 0.10  
  4 J002629.13$+$000509.6 0.2133 19.64 0.80 0.09  
  5 J003108.82$+$144543.4 0.1188 18.63 0.95 0.24  
  6 J004042.10$-$110957.7 0.0273 17.62 0.71 0.10  
  7 J005633.36$+$000510.2 0.0792 19.50 0.52 0.10  
  8 J005842.93$-$094102.4 0.1887 20.11 0.66 0.15  
  9 J010600.57$+$152441.9 0.2043 19.63 0.39 0.26  
 10 J010712.04$+$140845.0 0.0768 18.49 0.62 0.26  
 11 J011749.81$-$100114.7 0.1410 19.37 0.58 0.15  
 12 J012058.24$-$000709.1 0.1659 19.77 0.67 0.13  
 13 J012150.64$-$100510.0 0.1033 18.18 0.73 0.13  
 14 J012423.99$+$134325.4 0.2551 19.18 0.48 0.16  
 15 J014816.21$+$125018.0 0.1570 20.14 0.92 0.23  
 16 J020307.71$+$140816.9 0.0594 17.45 0.67 0.34  
 17 J022756.28$+$005733.2 0.1282 18.88 0.61 0.11  
 18 J022849.52$-$090153.9 0.0720 18.25 0.55 0.10  
 19 J024402.24$-$091540.9 0.1216 18.41 0.66 0.10  
 20 J024912.87$-$081525.7 0.0294 16.54 0.67 0.11  
 21 J030417.78$+$002827.4 0.0445 15.88 0.53 0.30  
 22 J031743.12$+$001936.9 0.0687 17.44 0.42 0.34  
 23 J032515.59$+$003408.4 0.1020 19.51 0.71 0.50  
 24 J032606.77$+$011429.7 0.1274 17.89 0.73 0.42  
 25 J032707.33$-$075639.4 0.1538 19.42 0.54 0.18  
 26 J034141.07$-$055315.4 0.1773 18.70 0.53 0.20  
 27 J073106.87$+$392644.7 0.0485 16.23 0.63 0.22  
 28 J073631.82$+$383058.3 0.0733 17.66 0.67 0.23  
 29 J073956.03$+$402816.3 0.0611 17.75 0.69 0.17  
 30 J074251.09$+$333403.9 0.1255 19.07 0.88 0.19  
 31 J074423.45$+$243046.3 0.1167 17.86 0.73 0.21  
 32 J074424.48$+$332034.8 0.0633 17.28 0.71 0.17  
 33 J074659.82$+$440728.8 0.0758 16.72 0.63 0.15  
 34 J074810.37$+$454003.1 0.1428 17.94 0.73 0.23  
 35 J074831.91$+$464455.5 0.0887 19.68 0.53 0.30  
 36 J074948.33$+$264734.2 0.1316 18.61 0.97 0.13  
 37 J075038.12$+$315737.1 0.0548 16.70 0.69 0.23  
 38 J075709.34$+$423616.4 0.0740 17.32 0.67 0.17  
 39 J080303.63$+$515729.1 0.0701 17.77 0.38 0.19  
 40 J080352.99$+$263123.4 0.0463 16.23 0.49 0.16  
 41 J080511.91$+$064119.5 0.0996 18.65 0.58 0.11  
 42 J080537.37$+$362522.1 0.0885 17.46 0.71 0.19  
 43 J080629.81$+$241955.7 0.0414 16.42 0.52 0.17  
 44 J080743.73$+$345454.4 0.1077 18.31 0.72 0.17  
 45 J080907.57$+$441641.5 0.0539 17.73 0.54 0.15  
 46 J081207.99$+$320453.1 0.0616 18.08 0.71 0.16  
 47 J081547.55$+$324213.7 0.1100 18.77 0.67 0.16  
 48 J081550.24$+$250641.0 0.0727 17.93 0.52 0.15  
 49 J081825.15$+$472950.3 0.0538 18.29 0.73 0.19  
 50 J081856.38$+$454908.2 0.2277 19.56 0.78 0.16  
 51 J082050.03$+$243909.1 0.1300 19.20 0.50 0.12  
 52 J082325.92$+$065106.5 0.0725 16.97 0.50 0.09  
 53 J082326.68$+$513605.2 0.1363 17.86 0.66 0.17  
 54 J082433.33$+$380013.1 0.1031 16.93 0.50 0.16  
 55 J082502.16$+$082614.9 0.0824 18.54 0.81 0.15  
 56 J082737.40$+$272917.3 0.1542 18.53 0.51 0.12  
 57 J082912.68$+$500652.3 0.0434 17.69 0.42 0.16  
 58 J083019.66$+$084725.1 0.0771 17.35 0.65 0.12  
 59 J083211.58$+$502408.6 0.1719 19.93 0.59 0.15  
 60 J083346.04$+$062026.6 0.1095 18.13 0.43 0.14  
 61 J083803.68$+$540642.1 0.0295 18.03 0.79 0.13  
 62 J083928.45$+$082102.4 0.1305 18.42 0.53 0.24  
 63 J084011.28$+$075915.8 0.1321 18.54 0.79 0.25  
 64 J084303.60$+$361011.2 0.0871 17.22 0.56 0.14  
 65 J084719.80$+$380043.7 0.1363 18.18 0.49 0.12  
 66 J084739.61$+$360444.4 0.0866 17.88 0.63 0.11  
 67 J085152.63$+$522833.0 0.0645 16.36 0.43 0.10  
 68 J085259.11$+$412203.0 0.1348 18.21 0.69 0.11  
 69 J085655.29$+$442653.4 0.1791 18.88 0.72 0.10  
 70 J085836.04$+$353634.3 0.1258 17.96 0.55 0.11  
 71 J085906.36$+$542150.2 0.1819 19.63 0.82 0.06  
 72 J090031.76$+$432709.0 0.0609 17.69 0.70 0.07  
 73 J090320.97$+$045738.1 0.0570 17.83 0.54 0.13  
 74 J090431.22$+$075330.9 0.0838 18.22 0.48 0.20  
 75 J090731.06$+$445428.5 0.1160 19.68 0.70 0.07  
 76 J091045.91$+$480339.4 0.1057 18.92 0.45 0.07  
 77 J091102.33$+$550023.1 0.0443 17.57 0.75 0.07  
 78 J091449.06$+$085321.1 0.1402 18.65 0.55 0.16  
 79 J091536.77$+$062540.6 0.3419 19.59 0.32 0.14  
 80 J091624.82$+$383433.5 0.2117 19.75 0.63 0.08  
 81 J091858.97$+$053844.3 0.1906 18.81 0.54 0.16  
 82 J091917.89$+$050953.0 0.0749 16.41 0.56 0.21  
 83 J092209.74$-$003222.4 0.0561 16.46 0.72 0.12  
 84 J092411.46$+$022321.8 0.0894 17.63 0.81 0.21  
 85 J092547.32$+$050231.7 0.1267 19.42 0.43 0.19  
 86 J092700.53$+$084329.5 0.1124 18.67 0.91 0.20  
 87 J093308.89$+$534749.0 0.0573 17.06 0.58 0.05  
 88 J093749.85$+$585522.7 0.1323 19.00 0.69 0.07  
 89 J093829.39$+$034826.7 0.1192 18.84 0.59 0.14  
 90 J093836.00$+$383613.4 0.1511 19.69 0.59 0.06  
 91 J094258.55$+$083810.1 0.1341 18.07 0.50 0.13  
 92 J094310.12$+$604559.2 0.0743 18.32 0.58 0.09  
 93 J094529.37$+$093610.4 0.0133 15.30 0.70 0.09  
 94 J095053.97$+$632145.7 0.0873 18.35 0.93 0.14  
 95 J095151.82$+$060143.7 0.0933 18.38 0.79 0.13  
 96 J095306.81$+$365028.1 0.0491 16.53 0.32 0.05  
 97 J095330.54$+$562653.5 0.0660 17.91 0.70 0.04  
 98 J095438.79$+$403204.3 0.0676 18.57 0.34 0.05  
 99 J095553.98$+$534846.1 0.3037 20.30 0.48 0.04  
100 J095835.99$-$005942.6 0.1669 19.21 0.70 0.15  
101 J100510.52$+$543255.5 0.0499 17.59 0.79 0.03  
102 J100617.52$+$365703.1 0.1090 18.89 0.51 0.05  
103 J100711.44$+$581714.3 0.2020 19.71 0.81 0.03  
104 J101108.40$+$002908.7 0.1000 19.33 0.59 0.14  
105 J101627.34$-$000714.6 0.0944 19.32 0.66 0.13  
106 J101748.42$+$405116.4 0.0939 18.35 0.80 0.06  
107 J102124.88$+$012720.3 0.0669 17.23 0.74 0.22  
108 J102212.61$+$383742.8 0.0559 18.38 0.68 0.07  
109 J102235.15$+$022930.5 0.0698 18.03 0.56 0.16  
110 J102348.44$+$040553.7 0.0989 17.35 0.62 0.12  
111 J102703.91$+$485023.9 0.1474 18.23 0.82 0.03  
112 J103234.85$+$650227.9 0.0057 13.42 0.55 0.06  
113 J103247.19$+$114521.2 0.1130 19.15 0.75 0.16  
114 J103618.78$+$051958.1 0.1845 19.67 0.55 0.10  
115 J103759.26$+$615310.8 0.0697 16.13 0.51 0.03  
116 J103928.73$+$562058.2 0.0746 18.82 0.46 0.02  
117 J104210.03$-$001814.8 0.1147 18.84 0.50 0.19  
118 J104504.24$+$114508.8 0.0548 16.87 0.62 0.09  
119 J104842.45$+$413302.3 0.0629 16.97 0.62 0.05  
120 J105131.91$+$504223.2 0.1321 18.98 0.66 0.05  
121 J105424.29$+$454130.5 0.0637 17.32 0.62 0.05  
122 J105755.67$+$482502.0 0.0733 18.20 0.53 0.07  
123 J110036.57$+$064121.4 0.2993 18.90 0.55 0.10  
124 J110039.66$+$085927.1 0.0626 17.12 0.71 0.11  
125 J110258.74$+$463811.5 0.1490 17.80 0.46 0.04  
126 J110536.35$+$091805.6 0.1770 19.47 0.49 0.09  
127 J110540.46$+$035309.1 0.0995 17.52 0.57 0.22  
128 J110721.89$+$124810.4 0.1761 18.58 0.34 0.05  
129 J110753.16$-$000717.7 0.1120 17.80 0.69 0.20  
130 J110817.77$+$105443.0 0.1715 18.64 0.72 0.08  
131 J111009.50$+$014802.6 0.1009 18.40 0.53 0.14  
132 J111031.61$+$022043.2 0.0795 18.08 0.66 0.14  
133 J111139.94$+$405816.5 0.0775 18.45 0.81 0.07  
134 J111330.25$+$484241.4 0.1105 18.03 0.53 0.06  
135 J111350.05$+$550338.6 0.0707 17.07 0.68 0.04  
136 J111402.17$+$020851.5 0.3079 19.69 0.49 0.14  
137 J111443.66$+$525834.3 0.0792 17.15 0.50 0.05  
138 J111644.65$+$402635.6 0.2021 20.37 0.62 0.05  
139 J112202.23$+$534253.6 0.0891 17.52 0.36 0.06  
140 J112242.74$+$414355.5 0.0447 18.51 0.76 0.07  
141 J112255.73$+$523825.3 0.0339 15.92 0.75 0.05  
142 J112309.17$+$433134.8 0.0792 17.96 0.45 0.08  
143 J112526.52$+$022039.1 0.0486 16.73 0.75 0.12  
144 J112613.04$+$105102.7 0.1130 18.49 0.65 0.15  
145 J112628.73$+$472453.9 0.0333 17.27 0.70 0.07  
146 J112637.74$+$513423.0 0.0264 16.02 0.67 0.04  
147 J112713.22$+$462530.6 0.1060 19.68 0.91 0.06  
148 J112718.75$+$585025.1 0.0878 16.91 0.76 0.06  
149 J113545.55$+$644005.3 0.1132 17.79 0.57 0.04  
150 J113638.38$+$424553.0 0.0711 17.56 0.64 0.09  
151 J113657.68$+$411318.5 0.0717 18.26 0.47 0.08  
152 J113711.45$+$123951.5 0.0800 17.10 0.67 0.12  
153 J114008.71$+$030711.4 0.0811 17.33 0.51 0.08  
154 J114107.56$-$024910.8 0.0287 15.61 0.67 0.11  
155 J114212.76$+$451037.6 0.3293 19.32 0.30 0.08  
156 J114330.98$+$643248.6 0.1235 18.29 0.27 0.10  
157 J114339.49$-$024316.3 0.0935 18.26 0.60 0.08  
158 J114343.77$+$550019.3 0.0271 17.48 0.34 0.04  
159 J114449.45$+$442300.5 0.1659 18.60 0.50 0.08  
160 J114633.99$+$100245.0 0.1243 18.72 0.63 0.14  
161 J114723.20$-$025004.7 0.1213 17.80 0.56 0.10  
162 J114851.62$+$514528.7 0.0676 18.51 0.71 0.07  
163 J115138.11$+$561331.9 0.0509 17.25 0.58 0.03  
164 J115341.78$+$461242.3 0.0244 15.14 0.64 0.11  
165 J115739.55$+$593414.3 0.1705 18.92 0.58 0.07  
166 J120449.71$+$510043.9 0.0826 17.55 0.49 0.07  
167 J121503.69$-$013210.6 0.1081 17.83 0.65 0.09  
168 J121511.09$+$450945.1 0.0551 16.72 0.71 0.05  
169 J121518.24$+$014751.2 0.0709 18.00 0.61 0.10  
170 J121629.13$+$601823.5 0.0602 17.88 0.70 0.06  
171 J121803.05$+$501728.3 0.1923 18.71 0.64 0.07  
172 J121828.57$+$533137.0 0.0635 17.03 0.74 0.09  
173 J121836.98$+$091323.6 0.0775 17.71 0.59 0.07  
174 J122342.81$+$581446.2 0.0145 16.09 0.63 0.05  
175 J122349.64$+$072657.9 0.0747 16.99 0.79 0.08  
176 J122658.41$+$421835.3 0.1388 18.13 0.63 0.13  
177 J122711.67$+$630646.9 0.0779 19.26 0.47 0.05  
178 J122844.83$+$654234.5 0.0891 17.84 0.59 0.07  
179 J123152.81$+$001033.7 0.1916 20.67 0.74 0.09  
180 J123349.92$+$634957.1 0.1334 19.15 0.64 0.05  
181 J124035.82$-$002919.5 0.0809 17.99 0.47 0.10  
182 J124118.74$+$010040.1 0.0899 17.85 0.54 0.06  
