Search Results

Searching for first_cat sources within 30.0000 arcsec of 309 input positions

21 sources found

                                                                                    FIRST Catalog Database (2014dec17)                                                                                    
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Do  Get Get  | Search     RA (2000)   Dec (2000)   Side   Peak     Int.     RMS   Deconv.  Deconv.  Deconv  Meas.     Meas.      Meas.    Field Name   SDSS Closest SDSS  SD 2MAS Closest 2MASS  Mean      Mean      RMS    
NED Opt FRST | Distance                            lobe   Flux     Flux    (mJy/   MajAx    MinAx   PosAng  MajAx     MinAx     PosAng                 Mtch  SDSS    i    Cl Mtch 2MASS    K     Epoch    Epoch     Epoch   
SrchImg Img  | (arcsec)                            Prob  (mJy/bm)  (mJy)   beam)  (arcsec) (arcsec) (deg)  (arcsec)  (arcsec)  (degrees)               <8"  Sep(")  (mag)    <8"  Sep(")  (mag) (year)    (MJD)     (MJD)   
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
NED OPT FIMG |    25.1  10 37 58.387 +61 53 35.15 0.014     2.71     3.08  0.139     2.57     1.24   23.3      5.98      5.54       23.3 10360+61403J    1    4.52 24.18  g    0   99.00 99.00 2002.555 2452478.1    11.145
NED OPT FIMG |     0.6  12 16 29.057 +60 18 23.30 0.016     1.51     1.03  0.154     0.00     0.00   89.4      4.54      4.41       89.4 12180+60210J    1    0.66 16.66  g    1    0.44 14.62 2002.515 2452463.6     1.374
NED OPT FIMG |    22.1  10 05 12.400 +54 32 40.69 0.014     1.35     0.86  0.150     0.00     0.00   90.3      4.35      4.28       90.3 10060+54251G    1    0.75 19.81  g    0   99.00 99.00 1997.364 2450582.3     1.302
NED OPT FIMG |     0.4  11 22 55.771 +52 38 25.10 0.014     2.44     2.55  0.131     2.27     0.00    7.7      5.86      5.21        7.7 11240+53003F    1    0.36 14.73  g    2    0.38 13.34 1997.338 2450572.7     0.228
NED OPT FIMG |    13.3  08 51 51.387 +52 28 26.16 0.089     1.79     3.74  0.144     5.65     5.61   90.0      7.81      7.79       90.0 08510+52196F    1    0.85 16.12  g    1    0.92 14.49 1997.339 2450573.1     0.494
NED OPT FIMG |     0.5  16 28 24.516 +45 28 11.39 0.053     1.04     0.68  0.140     0.00     0.00  179.7      4.44      4.36      179.7 16300+45351F    1    0.43 18.39  g    0   99.00 99.00 1997.194 2450520.3     4.329
NED OPT FIMG |     1.1  11 22 42.838 +41 43 55.67 0.016     1.34     2.38  0.149     4.82     4.71   26.7      7.24      7.17       26.7 11240+41450E    1    1.10 17.22  g    1    0.96 15.07 1994.679 2449601.2     2.586
NED OPT FIMG |     1.4  15 22 05.513 +39 34 40.53 0.014     1.89     2.52  0.139     4.74     0.42  113.2      7.19      5.42      113.2 15210+39393E   -1   99.00 99.00  -    1    0.57 13.16 1994.626 2449582.1     2.577
NED OPT FIMG |     1.0  08 24 33.381 +38 00 13.90 0.663     1.03     2.07  0.143     6.31     4.55    0.5      8.30      7.06        0.5 08240+38071E    3    0.96 15.83  g    1    0.85 14.23 1994.589 2449568.6     2.364
NED OPT FIMG |     0.1  07 42 51.086 +33 34 03.86 0.014     4.22     3.18  0.214     0.00     0.00    0.0      4.71      4.67        0.0 07420+33389G    1    0.10 17.80  g    1    0.39 15.11 1997.247 2450539.7   121.150
NED OPT FIMG |     0.3  16 20 21.145 +30 10 20.81 0.014     1.56     1.43  0.145     1.58     0.00   39.8      5.63      4.75       39.8 16210+30170E    3    0.30 16.21  g    1    0.19 14.55 1993.292 2449095.1     4.831
NED OPT FIMG |     0.3  07 49 48.349 +26 47 34.25 0.014     4.57     4.53  0.129     0.87     0.00   72.3      5.47      5.29       72.3 07510+27003E    1    0.25 17.18  g    1    0.08 14.82 1995.862 2450033.0     0.485
NED OPT FIMG |    23.1  13 15 37.063 +15 20 18.42 0.014     2.17     2.36  0.142     3.53     0.00  132.1      6.45      4.93      132.1 13150+15180I    1    0.32 20.48  g    0   99.00 99.00 1999.957 2451528.8     0.881
NED OPT FIMG |     0.4  10 45 04.256 +11 45 08.50 0.107     1.03     1.04  0.132     4.20     0.00   43.6      6.84      4.35       43.6 10450+11464I    1    0.44 15.61  g    1    0.47 14.25 2000.015 2451549.9     0.000
NED OPT FIMG |     2.1  09 14 49.019 +08 53 23.10 0.096     1.12     1.44  0.153     3.84     1.87  172.3      6.62      5.71      172.3 09150+08421I    2    1.74 16.49  g    2    1.82 13.82 2000.059 2451565.9     0.975
NED OPT FIMG |     0.2  13 24 28.234 +04 46 29.54 0.014     2.31     2.33  0.140     1.41     0.00    7.6      5.58      5.29        7.6 13240+04464I    1    0.14 14.94  g    1    0.14 13.30 2000.206 2451619.8   103.867
NED OPT FIMG |     0.2  03 17 43.134 +00 19 36.76 0.014     1.64     1.82  0.100     2.40     1.18  116.5      6.60      5.81      169.6 03165+00130Z    1    0.28 16.51  g    1    0.29 14.97 1999.296 2451287.6  1234.731
NED OPT FIMG |     1.6  12 40 35.721 -00 29 20.12 0.060     1.16     1.29  0.150     5.04     0.00   72.3      7.49      5.13       65.6 12420-00260R    1    1.65 17.02  g    1    1.91 14.23 1998.617 2451039.6     1.380
NED OPT FIMG |     0.1  23 41 43.384 -00 55 18.58 0.014     3.50     3.78  0.135     2.12     0.73   71.6      6.48      5.75        7.7 23420-00520Z    1    0.03 16.13  g    1    0.08 14.62 1995.877 2450038.8     0.411
NED OPT FIMG |     1.5  14 00 40.497 -01 55 17.34 0.014     1.89     2.69  0.153     5.13     2.41  148.1      8.06      6.10      159.3 14000-01440G    2    1.38 15.20  g    1    1.26 13.24 1998.636 2451046.8     1.559
NED OPT FIMG |     0.4  13 28 34.350 -03 07 45.00 0.014     9.01     8.81  0.147     0.00     0.00   78.0      6.32      5.35        0.6 13300-03020G    1    0.33 16.24  g    1    0.36 14.50 1998.696 2451068.7     1.963
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
NED OPT FIMG |          00 01 11.150 -10 01 55.70                          0.151 
NED OPT FIMG |          00 03 08.480 +15 48 42.20                         -1.000*
NED OPT FIMG |          00 17 28.840 -00 18 26.80                          0.113 
NED OPT FIMG |          00 26 29.130 +00 05 09.60                          0.104 
NED OPT FIMG |          00 31 08.820 +14 45 43.40                          0.145 
NED OPT FIMG |          00 40 42.100 -11 09 57.70                          0.133 
NED OPT FIMG |          00 56 33.360 +00 05 10.20                          0.102 
NED OPT FIMG |          00 58 42.930 -09 41 02.40                          0.150 
NED OPT FIMG |          01 06 00.570 +15 24 41.90                         -1.000*
NED OPT FIMG |          01 07 12.040 +14 08 45.00                         -1.000*
NED OPT FIMG |          01 17 49.810 -10 01 14.70                          0.134 
NED OPT FIMG |          01 20 58.240 -00 07 09.10                          0.101 
NED OPT FIMG |          01 21 50.640 -10 05 10.00                          0.146 
NED OPT FIMG |          01 24 23.990 +13 43 25.40                         -1.000*
NED OPT FIMG |          01 48 16.210 +12 50 18.00                          0.266 
NED OPT FIMG |          02 03 07.710 +14 08 16.90                         -1.000*
NED OPT FIMG |          02 27 56.280 +00 57 33.20                          0.145 
NED OPT FIMG |          02 28 49.520 -09 01 53.90                          0.150 
NED OPT FIMG |          02 44 02.240 -09 15 40.90                          0.156 
NED OPT FIMG |          02 49 12.870 -08 15 25.70                          0.159 
NED OPT FIMG |          03 04 17.780 +00 28 27.40                          0.104 
NED OPT FIMG |          03 25 15.590 +00 34 08.40                          0.140 
NED OPT FIMG |          03 26 06.770 +01 14 29.70                          0.151*
NED OPT FIMG |          03 27 07.330 -07 56 39.40                          0.256 
NED OPT FIMG |          03 41 41.070 -05 53 15.40                          0.212 
NED OPT FIMG |          07 31 06.870 +39 26 44.70                          0.129 
NED OPT FIMG |          07 36 31.820 +38 30 58.30                          0.136 
NED OPT FIMG |          07 39 56.030 +40 28 16.30                          0.134 
NED OPT FIMG |          07 44 23.450 +24 30 46.30                          0.140 
NED OPT FIMG |          07 44 24.480 +33 20 34.80                          0.153 
NED OPT FIMG |          07 46 59.820 +44 07 28.80                          0.134 
NED OPT FIMG |          07 48 10.370 +45 40 03.10                          0.137 
NED OPT FIMG |          07 48 31.910 +46 44 55.50                          0.135 
NED OPT FIMG |          07 50 38.120 +31 57 37.10                          0.151 
NED OPT FIMG |          07 57 09.340 +42 36 16.40                          0.145 
NED OPT FIMG |          08 03 03.630 +51 57 29.10                          0.150 
NED OPT FIMG |          08 03 52.990 +26 31 23.40                          0.145 
NED OPT FIMG |          08 05 11.910 +06 41 19.50                          0.150 
NED OPT FIMG |          08 05 37.370 +36 25 22.10                          0.149 
NED OPT FIMG |          08 06 29.810 +24 19 55.70                          0.605 
NED OPT FIMG |          08 07 43.730 +34 54 54.40                          0.133 
NED OPT FIMG |          08 09 07.570 +44 16 41.50                          0.141 
NED OPT FIMG |          08 12 07.990 +32 04 53.10                          0.141 
NED OPT FIMG |          08 15 47.550 +32 42 13.70                          0.150 
NED OPT FIMG |          08 15 50.240 +25 06 41.00                          0.154 
NED OPT FIMG |          08 18 25.150 +47 29 50.30                          0.142 
NED OPT FIMG |          08 18 56.380 +45 49 08.20                          0.134 
NED OPT FIMG |          08 20 50.030 +24 39 09.10                          0.132 
NED OPT FIMG |          08 23 25.920 +06 51 06.50                          0.151 
NED OPT FIMG |          08 23 26.680 +51 36 05.20                          0.150 
NED OPT FIMG |          08 25 02.160 +08 26 14.90                          0.143 
NED OPT FIMG |          08 27 37.400 +27 29 17.30                          0.141 
NED OPT FIMG |          08 29 12.680 +50 06 52.30                          0.135 
NED OPT FIMG |          08 30 19.660 +08 47 25.10                          0.161 
